#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
1370,Bevi,Boston,USA,North America,30,43917,20,150,120,Food,Series C,$60,2020,42.35843,-71.05977
1371,Textio,Seattle,USA,North America,30,43917,20,150,120,Recruiting,Unknown,$41,2020,47.60621,-122.33207
1372,B8ta,San Francisco Bay Area,USA,North America,250,43916,50,500,250,Retail,Series C,$88,2020,37.77493,-122.41942
1373,Puppet,Portland,USA,North America,50,43916,10,500,450,Infrastructure,Series F,$149,2020,45.52345,-122.67621
1374,Ecobee,Toronto,Canada,North America,47,43916,10,470,423,Energy,Series C,$149,2020,43.70643,-79.39864
1375,Peerspace,San Francisco Bay Area,USA,North America,41,43916,75,55,14,Real Estate,Series B,$34,2020,37.77493,-122.41942
1376,GoSpotCheck,Denver,USA,North America,23,43916,20,115,92,Retail,Series B,$47,2020,39.73915,-104.9847
1377,Consider.co,San Francisco Bay Area,USA,North America,13,43916,100,13,0,Other,Seed,$5,2020,37.77493,-122.41942
1378,TripActions,San Francisco Bay Area,USA,North America,300,43915,25,1200,900,Travel,Series D,$981,2020,37.44188,-122.14302
1379,WanderJaunt,San Francisco Bay Area,USA,North America,56,43915,23,243,187,Travel,Series B,$26,2020,37.77493,-122.41942
1380,OutboundEngine,Austin,USA,North America,52,43915,28,186,134,Marketing,Series C,$48,2020,30.26715,-97.74306
1381,Wonderschool,San Francisco Bay Area,USA,North America,50,43915,75,67,17,Education,Series A,$24,2020,37.77493,-122.41942
1382,Overtime,New York City,USA,North America,30,43915,23,130,100,Media,Series B,$35,2020,40.71427,-74.00597
1383,Jama,Portland,USA,North America,12,43915,5,240,228,Product,Unknown,$233,2020,45.52345,-122.67621
1384,Sonder,San Francisco Bay Area,USA,North America,400,43914,33,1212,812,Travel,Series D,$359,2020,37.77493,-122.41942
1385,Foodsby,Minneapolis,USA,North America,87,43914,67,130,43,Food,Series B,$20,2020,44.97997,-93.26384
1386,Zeus Living,San Francisco Bay Area,USA,North America,80,43914,30,267,187,Real Estate,Series B,$79,2020,37.77493,-122.41942
1387,Compass,New York City,USA,North America,375,43913,15,2500,2125,Real Estate,Series G,$1600,2020,40.71427,-74.00597
1388,Convene,New York City,USA,North America,150,43913,18,833,683,Real Estate,Series D,$280,2020,40.71427,-74.00597
1389,Leafly,Seattle,USA,North America,91,43913,50,182,91,Retail,Acquired,$2,2020,47.60621,-122.33207
1390,The Guild,Austin,USA,North America,38,43913,22,173,135,Travel,Series B,$36,2020,30.26715,-97.74306
1391,GrayMeta,Los Angeles,USA,North America,20,43913,40,50,30,Data,Unknown,$7,2020,34.05223,-118.24368
1392,Triplebyte,San Francisco Bay Area,USA,North America,15,43913,17,88,73,Recruiting,Series B,$48,2020,37.77493,-122.41942
1393,Ladder Life,San Francisco Bay Area,USA,North America,13,43913,25,52,39,Finance,Series C,$94,2020,37.44188,-122.14302
1394,Flywheel Sports,New York City,USA,North America,784,43910,98,800,16,Fitness,Acquired,$120,2020,40.71427,-74.00597
1395,CTO.ai,Vancouver,Canada,North America,30,43910,50,60,30,Infrastructure,Seed,$7,2020,49.24966,-123.11934
1396,Remote Year,Chicago,USA,North America,50,43909,50,100,50,Travel,Series B,$17,2020,41.85003,-87.65005
1397,Flytedesk,Boulder,USA,North America,4,43908,20,20,16,Marketing,Seed,$4,2020,40.01499,-105.27055
1398,Inspirato,Denver,USA,North America,130,43906,22,591,461,Travel,Series C,$79,2020,39.73915,-104.9847
1399,Help.com,Austin,USA,North America,16,43906,100,16,0,Support,Seed,$6,2020,30.26715,-97.74306
1400,HopSkipDrive,Los Angeles,USA,North America,8,43903,10,80,72,Transportation,Unknown,$45,2020,34.05223,-118.24368
1401,Panda Squad,San Francisco Bay Area,USA,North America,6,43903,75,8,2,Consumer,Seed,$1,2020,37.77493,-122.41942
1402,Tamara Mellon,Los Angeles,USA,North America,20,43902,40,50,30,Retail,Series C,$90,2020,34.05223,-118.24368
1403,Discord,San Francisco Bay Area,USA,North America,170,45597,17,1000,830,Consumer,Series H,$995,2024,37.77493,-122.41942
1404,Inmobi,Bengaluru,India,Asia,125,45597,5,2500,2375,Marketing,Unknown,$320,2024,12.97194,77.59369
1405,Audible,New York City,USA,North America,100,45597,5,2000,1900,Media,Acquired,$14,2024,40.71427,-74.00597
1406,Sisense,New York City,USA,North America,60,45597,13,462,402,Data,Series F,$274,2024,40.71427,-74.00597
1407,Google,San Francisco Bay Area,USA,North America,1000,45566,0.531914894,188000,187000,Consumer,Post-IPO,$26,2024,37.38605,-122.08385
1408,Instagram,San Francisco Bay Area,USA,North America,60,45566,13.33333333,450,390,Consumer,Acquired,$57,2024,37.45383,-122.18219
1409,Twitch,San Francisco Bay Area,USA,North America,500,45536,35,1429,929,Consumer,Acquired,$35,2024,37.77493,-122.41942
1410,Nevro,San Francisco Bay Area,USA,North America,63,45536,5,1260,1197,Healthcare,Post-IPO,$556,2024,37.48522,-122.23635
1411,Rent the Runway,New York City,USA,North America,37,45536,10,370,333,Retail,Post-IPO,$526,2024,40.71427,-74.00597
1412,Humane,San Francisco Bay Area,USA,North America,10,45536,4,250,240,Hardware,Series C,$230,2024,37.77493,-122.41942
1413,Unity,San Francisco Bay Area,USA,North America,1800,45505,25,7200,5400,Other,Post-IPO,$1300,2024,37.77493,-122.41942
1414,Pitch,Berlin,Germany,Europe,80,45505,67,119,39,Other,Series B,$138,2024,52.52437,13.41053
1415,BenchSci,Toronto,Canada,North America,70,45505,17,412,342,Healthcare,Series D,$164,2024,43.70643,-79.39864
1416,NanoString Technology,Seattle,USA,North America,50,45505,9,556,506,Healthcare,Post-IPO,$826,2024,47.60621,-122.33207
1417,Trigo,Tel Aviv,Israel,Asia,30,45383,15,200,170,Retail,Series C,$199,2024,32.08088,34.78057
1418,Frontdesk,Milwaukee,USA,North America,200,45323,100,200,0,Travel,Unknown,$26,2024,43.0389,-87.90647
